CountryID,Country Name,WEBNAME,Region,World Rank,Region Rank,2019 Score,Property Rights,Judical Effectiveness,Government Integrity,Tax Burden,Gov't Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP ,Country,Population (Millions),"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP),hdi_rank,hdi,life_expenctancy,schooling_expected,mean_years_schooling,gni_per_capita
1,Afghanistan,Afghanistan,Asia-Pacific,152,39,51.5,19.6,29.6,25.2,91.7,80.3,99.3,49.2,60.4,76.7,66,10,10,7,20,20,5,25.6,Afghanistan,35.5,$69.60 ,2.5,2.9,1958,8.8,5,53.9,7.3,168,0.498,64,10.4,3.8,1824
2,Albania,Albania,Europe,52,27,66.5,54.8,30.6,40.4,86.3,73.9,80.6,69.3,52.7,81.5,87.8,70,70,1.1,23,15,24.9,29.5,Albania,2.9,$36.00 ,3.9,2.5,12507,13.9,2,"1,119.10",71.2,68,0.785,78.5,14.8,10,11886
3,Algeria,Algeria,Middle East and North Africa,171,14,46.2,31.6,36.2,28.9,76.4,48.7,18.7,61.6,49.9,74.9,67.4,30,30,8.8,35,23,24.5,41.4,Algeria,41.5,$632.90 ,2,3.1,15237,10,5.6,"1,203.00",25.8,85,0.754,76.3,14.4,8,13802
4,Angola,Angola,Sub-Saharan Africa,156,33,50.6,35.9,26.6,20.5,83.9,80.7,58.2,55.7,58.8,55.4,61.2,30,40,9.4,17,30,20.6,25.3,Angola,28.2,$190.30 ,0.7,2.9,6753,8.2,31.7,"-2,254.50",65.3,147,0.581,61.8,11.8,5.1,5790
5,Argentina,Argentina,Americas,148,26,52.2,47.8,44.5,33.5,69.3,49.5,33,56.4,46.9,60.2,70,55,60,7.5,35,30,30.8,41,Argentina,44.1,$920.20 ,2.9,0.7,20876,8.7,25.7,"11,857.00",52.6,47,0.825,76.7,17.4,9.9,18461
6,Armenia,Armenia,Europe,47,24,67.7,57.2,46.3,38.6,84.7,79,53,78.3,71.4,77.8,80.8,75,70,2.1,26,20,21.3,26.4,Armenia,3,$28.30 ,7.5,3.6,9456,18.2,0.9,245.7,53.5,83,0.755,74.8,13,11.7,9144
7,Australia,Australia,Asia-Pacific,5,4,80.9,79.1,86.5,79.9,62.8,60.1,86.2,88.3,84.1,86.6,87.6,80,90,1.2,45,30,28.2,36.5,Australia,24.8,"$1,246.50 ",2.3,2.4,50334,5.6,2,"46,368.00",41.6,3,0.939,83.1,22.9,12.9,43560
8,Austria,Austria,Europe,31,16,72,84.2,71.3,77.4,50.5,24.5,85.5,74.9,68.7,81.5,86,90,70,2,50,25,42.7,50.2,Austria,8.8,$439.60 ,2.9,1.3,49869,5.5,2.2,"9,629.60",78.8,20,0.908,81.8,16.1,12.1,45415
9,Azerbaijan,Azerbaijan,Asia-Pacific,60,13,65.4,59.1,53.1,44.7,87.5,59.5,89.4,69.5,63.9,63,74.6,60,60,5.2,25,20,15,36.7,Azerbaijan,9.8,$171.80 ,0.1,1.2,17492,5,13,"2,867.00",54.7,80,0.757,72.1,12.7,10.7,15600
10,Bahamas,Bahamas,Americas,76,15,62.9,42.2,46.9,43.7,97.3,86.8,65.7,68.5,67.5,78.1,47.8,50,60,18.6,0,0,16.3,21,Bahamas,0.4,$11.60 ,1.3,-0.7,31139,12.6,1.4,927.7,57.2,54,0.807,75.8,12.8,11.1,26681
11,Bahrain,Bahrain,Middle East and North Africa,54,5,66.4,63.5,50.7,53.6,99.7,62.7,3.7,71.4,71.1,81.6,83.8,75,80,3.1,0,0,5.6,35.3,Bahrain,1.5,$70.40 ,3.2,3.8,48505,1.2,1.4,518.9,90.3,43,0.846,77,16,9.4,41580
12,Bangladesh,Bangladesh,Asia-Pacific,121,27,55.6,36.1,34.5,24.4,72.7,94.5,77.6,50.9,68.2,69.9,63.6,45,30,10.7,25,45,8.8,13.6,Bangladesh,163.2,$687.10 ,7.1,6.7,4211,4.4,5.7,"2,151.60",32.4,136,0.608,72.8,11.4,5.8,3677
